timestamp,acc_x,acc_y,acc_z,magn_x,magn_y,magn_z,gyro_x,gyro_y,gyro_z
1701528655.982,19.609,19.609,-19.609,0.0002,0.0015,0.0027,-0.013000000000000001,-0.077,-0.004
1701528656.022,19.609,19.609,-19.609,0.0015,0.0034000000000000002,-0.0076,-0.018000000000000002,-0.029,0.04
1701528656.062,19.609,19.609,-19.609,0.0012000000000000001,0.0023,0.0176,-0.075,-0.11800000000000001,0.11900000000000001
1701528656.102,19.609,19.609,-19.609,-0.0001,0.0029000000000000002,-0.0099,-0.082,-0.106,0.159
1701528656.142,19.609,19.609,-19.609,-0.0001,0.002,-0.0031000000000000003,-0.069,-0.14200000000000002,0.073
1701528656.182,19.609,19.609,-19.609,0.0036000000000000003,0.0011,-0.0044,-0.002,-0.11900000000000001,-0.023
1701528656.222,19.609,19.609,-19.609,0.0001,0.0028,0.0068000000000000005,0.051000000000000004,-0.12,-0.135
1701528656.2619998,19.609,19.609,-19.609,0.0019,0.0,-0.00030000000000000003,0.131,-0.126,-0.233
1701528656.302,19.609,19.609,-19.609,0.0001,0.002,0.0018000000000000002,0.227,-0.145,-0.442
1701528656.342,19.609,19.609,-19.609,0.0023,0.0031000000000000003,-0.0045000000000000005,0.397,-0.149,-0.547
1701528656.382,19.609,19.609,-19.609,0.0035,0.0025,-0.0129,0.519,-0.124,-0.556
1701528656.422,19.609,19.609,-19.609,-0.0004,0.0027,0.0128,0.561,-0.074,-0.535
1701528656.462,19.609,19.609,-19.609,0.0037,0.0022,-0.007500000000000001,0.465,-0.064,-0.447
1701528656.5019999,19.609,19.609,-19.609,0.001,0.0029000000000000002,-0.0028,0.377,-0.012,-0.43
1701528656.542,19.609,19.609,-19.609,-0.0017000000000000001,0.0028,0.0031000000000000003,0.369,0.078,-0.379
1701528656.582,19.609,19.609,-19.609,0.0002,0.0018000000000000002,-0.001,0.243,0.031,-0.318
1701528656.622,19.609,19.609,-19.609,-0.0022,0.0025,0.00030000000000000003,0.149,0.021,-0.317
1701528656.662,19.609,19.609,-19.609,-0.0009000000000000001,0.0031000000000000003,0.002,0.153,0.003,-0.371
1701528656.702,19.609,19.609,-19.609,-0.00030000000000000003,0.0032,-0.0011,0.17300000000000001,-0.074,-0.397
1701528656.7419999,19.609,19.609,-19.609,0.0015,0.003,0.0019,0.183,-0.138,-0.324
1701528656.782,19.609,19.609,-19.609,-0.0001,0.002,-0.0008,0.262,-0.211,-0.277
1701528656.822,19.609,19.609,-19.609,-0.0013000000000000002,-0.0001,0.0017000000000000001,0.167,-0.269,-0.133
1701528656.862,19.609,19.609,-19.609,-0.0004,0.0037,-0.0031000000000000003,0.17400000000000002,-0.306,-0.076
1701528656.902,19.609,19.609,-19.609,-0.0009000000000000001,0.0023,0.002,0.10300000000000001,-0.28700000000000003,-0.041
1701528656.942,19.609,19.609,-19.609,0.0017000000000000001,0.0028,-0.0008,0.098,-0.338,-0.032
1701528656.9819999,19.609,19.609,-19.609,0.0008,0.0023,0.0219,0.048,-0.225,-0.048
1701528657.022,19.609,19.609,-19.609,0.0005,0.0025,-0.009300000000000001,0.039,-0.196,-0.063
1701528657.062,19.609,19.609,-19.609,-0.0012000000000000001,-0.0005,0.0119,0.02,-0.14100000000000001,-0.066
1701528657.102,19.609,19.609,-19.609,0.0001,0.0034000000000000002,-0.012,0.02,-0.106,-0.073
1701528657.142,19.609,19.609,-19.609,-0.001,0.0032,-0.0012000000000000001,0.02,-0.079,-0.08600000000000001
1701528657.182,19.609,19.609,-19.609,0.0012000000000000001,0.0044,0.0051,0.033,-0.08600000000000001,-0.07200000000000001
1701528657.222,19.609,19.609,-19.609,0.00030000000000000003,0.0023,-0.001,0.024,-0.055,-0.049
1701528657.262,19.609,19.609,-19.609,0.0001,0.0036000000000000003,0.0046,0.006,-0.053,-0.045
1701528657.302,19.609,19.609,-19.609,-0.0014,0.0021000000000000003,0.0001,-0.006,-0.06,-0.034
1701528657.342,19.609,19.609,-19.609,0.0,0.0031000000000000003,-0.0019,-0.007,-0.052000000000000005,-0.01
1701528657.382,19.609,19.609,-19.609,0.0017000000000000001,0.0048000000000000004,-0.0019,-0.036000000000000004,-0.07200000000000001,-0.006
1701528657.422,19.609,19.609,-19.609,0.00030000000000000003,0.0038,-0.0021000000000000003,-0.026000000000000002,-0.066,-0.026000000000000002
1701528657.462,19.609,19.609,-19.609,0.0006000000000000001,0.0025,-0.0021000000000000003,-0.036000000000000004,-0.079,-0.077
1701528657.502,19.609,19.609,-19.609,-0.0004,0.0035,0.0006000000000000001,-0.053,-0.08600000000000001,-0.08
1701528657.542,19.609,19.609,-19.609,0.0012000000000000001,0.0014,0.0019,-0.043000000000000003,-0.08,-0.058
1701528657.582,19.609,19.609,-19.609,0.0012000000000000001,0.0024000000000000002,-0.0001,-0.05,-0.076,-0.051000000000000004
1701528657.622,19.609,19.609,-19.609,-0.0023,0.0041,0.0032,-0.038,-0.048,-0.048
1701528657.662,19.609,19.609,-19.609,0.0028,0.0053,-0.019100000000000002,-0.048,-0.001,-0.064
1701528657.702,19.609,19.609,-19.609,0.0004,0.0026000000000000003,0.0012000000000000001,-0.046,0.053,-0.081
1701528657.742,19.609,19.609,-19.609,-0.0001,0.0021000000000000003,0.0023,-0.047,0.018000000000000002,-0.078
1701528657.782,19.609,19.609,-19.609,0.0004,0.002,-0.0098,-0.027,-0.001,-0.075
1701528657.822,19.609,19.609,-19.609,0.0006000000000000001,0.0021000000000000003,-0.0256,0.004,-0.01,-0.08700000000000001
1701528657.862,19.609,19.609,-19.609,0.0015,0.0015,0.0359,0.001,-0.051000000000000004,-0.07200000000000001
1701528657.902,19.609,19.609,-19.609,0.0012000000000000001,0.0015,-0.005,-0.011,-0.054,-0.07200000000000001
1701528657.942,19.609,19.609,-19.609,-0.0012000000000000001,0.0046,-0.0038,-0.003,-0.049,-0.076
1701528657.982,19.609,19.609,-19.609,0.0025,0.003,-0.0021000000000000003,-0.012,-0.019,-0.078
1701528658.022,19.609,19.609,-19.609,0.0007,0.001,-0.0036000000000000003,-0.024,0.014,-0.075
1701528658.062,19.609,19.609,-19.609,-0.0016,0.0018000000000000002,0.0025,-0.002,0.003,-0.083
1701528658.102,19.609,19.609,-19.609,0.0023,0.0026000000000000003,0.0015,-0.018000000000000002,0.004,-0.076
1701528658.142,19.609,19.609,-19.609,0.001,0.003,-0.0023,-0.017,-0.034,-0.08
1701528658.182,19.609,19.609,-19.609,0.004,0.0037,0.0024000000000000002,-0.007,-0.044,-0.077
1701528658.222,19.609,19.609,-19.609,0.0018000000000000002,0.0021000000000000003,-0.0105,-0.018000000000000002,-0.038,-0.064
1701528658.2619998,19.609,19.609,-19.609,0.0011,0.0017000000000000001,-0.009300000000000001,-0.023,-0.029,-0.076
1701528658.302,19.609,19.609,-19.609,-0.00030000000000000003,0.0033,0.0008,-0.022,-0.008,-0.082
1701528658.342,19.609,19.609,-19.609,0.0,0.0026000000000000003,-0.0045000000000000005,-0.021,-0.005,-0.092
1701528658.382,19.609,19.609,-19.609,0.0014,0.0048000000000000004,0.0017000000000000001,-0.022,-0.006,-0.088
1701528658.422,19.609,19.609,-19.609,0.00030000000000000003,0.0014,-0.0078000000000000005,-0.007,-0.029,-0.095
1701528658.462,19.609,19.609,-19.609,0.0,0.0047,-0.0011,-0.005,-0.039,-0.096
1701528658.5019999,19.609,19.609,-19.609,0.0005,0.004,0.001,0.007,-0.026000000000000002,-0.094
1701528658.542,19.609,19.609,-19.609,0.0009000000000000001,0.0022,0.0233,0.011,-0.026000000000000002,-0.107
1701528658.582,19.609,19.609,-19.609,0.001,0.0026000000000000003,-0.0037,-0.001,-0.012,-0.12
1701528658.622,19.609,19.609,-19.609,0.0007,0.0026000000000000003,-0.0031000000000000003,0.013000000000000001,-0.016,-0.126
1701528658.662,19.609,19.609,-19.609,-0.00030000000000000003,0.0018000000000000002,-0.0031000000000000003,0.017,-0.022,-0.114
1701528658.702,19.609,19.609,-19.609,-0.0004,0.0014,0.0061,0.006,-0.046,-0.095
1701528658.7419999,19.609,19.609,-19.609,0.0018000000000000002,0.0023,0.0064,0.017,-0.042,-0.089
1701528658.782,19.609,19.609,-19.609,0.0033,0.0059,-0.0034000000000000002,0.02,-0.048,-0.08700000000000001
1701528658.822,19.609,19.609,-19.609,0.0,0.0015,-0.0026000000000000003,0.01,-0.037,-0.077
1701528658.862,19.609,19.609,-19.609,-0.0009000000000000001,0.0036000000000000003,-0.010400000000000001,-0.004,-0.024,-0.082
1701528658.902,19.609,19.609,-19.609,-0.0007,0.0029000000000000002,0.0236,-0.013000000000000001,-0.016,-0.08700000000000001
1701528658.942,19.609,19.609,-19.609,0.0015,0.0017000000000000001,-0.005,-0.02,-0.007,-0.093
1701528658.9819999,19.609,19.609,-19.609,0.0012000000000000001,0.0022,-0.0089,-0.019,-0.021,-0.083
1701528659.022,19.609,19.609,-19.609,-0.0012000000000000001,0.0025,-0.0045000000000000005,-0.025,-0.014,-0.07200000000000001
1701528659.062,19.609,19.609,-19.609,0.0026000000000000003,0.0032,-0.0017000000000000001,-0.017,-0.001,-0.07200000000000001
1701528659.102,19.609,19.609,-19.609,-0.0001,0.0034000000000000002,0.0039000000000000003,-0.02,0.002,-0.082
1701528659.142,19.609,19.609,-19.609,-0.0019,0.0012000000000000001,-0.010400000000000001,-0.014,0.012,-0.074
1701528659.182,19.609,19.609,-19.609,-0.00030000000000000003,0.0019,0.0029000000000000002,-0.012,-0.009000000000000001,-0.068
1701528659.222,19.609,19.609,-19.609,-0.0032,0.0021000000000000003,-0.0046,-0.026000000000000002,0.002,-0.085
1701528659.262,19.609,19.609,-19.609,-0.0008,0.0026000000000000003,0.023100000000000002,-0.02,-0.004,-0.085
1701528659.302,19.609,19.609,-19.609,-0.0007,0.004,-0.005,-0.012,-0.014,-0.07200000000000001
1701528659.342,19.609,19.609,-19.609,0.0021000000000000003,0.0053,-0.0119,-0.019,-0.011,-0.073
1701528659.382,19.609,19.609,-19.609,-0.0002,0.0025,0.0059,-0.007,-0.01,-0.075
1701528659.422,19.609,19.609,-19.609,0.0031000000000000003,0.0037,-0.0097,-0.016,-0.007,-0.085
1701528659.462,19.609,19.609,-19.609,0.0019,0.0031000000000000003,0.0,-0.013000000000000001,-0.008,-0.092
1701528659.502,19.609,19.609,-19.609,0.0,0.0016,-0.010100000000000001,-0.018000000000000002,-0.024,-0.076
1701528659.542,19.609,19.609,-19.609,-0.0006000000000000001,0.0022,-0.0022,-0.02,-0.023,-0.064
1701528659.582,19.609,19.609,-19.609,0.0001,0.0018000000000000002,0.01,-0.023,-0.026000000000000002,-0.062
1701528659.622,19.609,19.609,-19.609,0.0013000000000000002,0.0039000000000000003,-0.0057,-0.022,-0.008,-0.045
1701528659.662,19.609,19.609,-19.609,-0.0015,0.0029000000000000002,-0.0067,-0.026000000000000002,0.005,-0.041
1701528659.702,19.609,19.609,-19.609,-0.0004,0.0048000000000000004,-0.012,-0.046,-0.015,-0.036000000000000004
1701528659.742,19.609,19.609,-19.609,0.0007,0.0031000000000000003,-0.0187,-0.041,-0.012,-0.066
1701528659.782,19.609,19.609,-19.609,0.0014,0.0025,0.0143,-0.031,-0.004,-0.092
1701528659.822,19.609,19.609,-19.609,-0.0011,0.0025,0.0001,-0.01,-0.011,-0.092
1701528659.862,19.609,19.609,-19.609,0.0,0.0036000000000000003,-0.0184,-0.022,-0.007,-0.094
1701528659.902,19.609,19.609,-19.609,0.0007,0.003,0.031100000000000003,-0.011,-0.02,-0.10300000000000001
1701528659.942,19.609,19.609,-19.609,-0.00030000000000000003,0.0037,-0.0024000000000000002,-0.027,-0.022,-0.091
1701528659.982,19.609,19.609,-19.609,0.0007,0.0041,-0.0007,-0.025,-0.037,-0.085
1701528660.022,19.609,19.609,-19.609,0.0004,0.0031000000000000003,-0.0004,-0.023,-0.044,-0.082
1701528660.062,19.609,19.609,-19.609,-0.0028,0.0014,-0.0125,-0.007,-0.046,-0.078
1701528660.102,19.609,19.609,-19.609,0.0017000000000000001,0.0017000000000000001,0.005,-0.009000000000000001,-0.048,-0.088
1701528660.142,19.609,19.609,-19.609,0.0,0.0009000000000000001,-0.0029000000000000002,-0.007,-0.048,-0.092
1701528660.182,19.609,19.609,-19.609,0.0006000000000000001,0.0037,-0.0149,-0.003,-0.043000000000000003,-0.08600000000000001
1701528660.222,19.609,19.609,-19.609,0.0038,0.0015,0.0115,-0.004,-0.052000000000000005,-0.08700000000000001
1701528660.2619998,19.609,19.609,-19.609,0.0014,0.0029000000000000002,-0.0061,-0.006,-0.04,-0.093
1701528660.302,19.609,19.609,-19.609,0.00030000000000000003,0.0015,0.005200000000000001,-0.008,-0.035,-0.091
1701528660.342,19.609,19.609,-19.609,-0.00030000000000000003,0.0,-0.0017000000000000001,-0.011,-0.036000000000000004,-0.094
1701528660.382,19.609,19.609,-19.609,-0.00030000000000000003,-0.0006000000000000001,0.0021000000000000003,-0.009000000000000001,-0.02,-0.09
1701528660.422,19.609,19.609,-19.609,0.0,0.0021000000000000003,-0.0015,-0.025,-0.026000000000000002,-0.096
1701528660.462,19.609,19.609,-19.609,0.0002,0.0046,-0.0205,-0.011,-0.015,-0.08700000000000001
1701528660.5019999,19.609,19.609,-19.609,-0.0016,0.00030000000000000003,0.0111,-0.023,-0.024,-0.085
1701528660.542,19.609,19.609,-19.609,0.004,0.0037,-0.0224,-0.034,-0.017,-0.073
1701528660.582,19.609,19.609,-19.609,0.0009000000000000001,-0.0005,-0.0262,-0.042,-0.013000000000000001,-0.053
1701528660.622,19.609,19.609,-19.609,0.0007,0.004,-0.0008,-0.043000000000000003,-0.007,-0.031
1701528660.662,19.609,19.609,-19.609,0.002,0.0018000000000000002,-0.0222,-0.036000000000000004,-0.036000000000000004,-0.036000000000000004
1701528660.702,19.609,19.609,-19.609,0.0023,0.006200000000000001,0.037200000000000004,-0.036000000000000004,-0.012,-0.023
1701528660.7419999,19.609,19.609,-19.609,-0.0005,0.002,-0.0154,-0.03,-0.015,-0.029
1701528660.782,19.609,19.609,-19.609,0.0014,0.0026000000000000003,0.0112,-0.028,-0.023,-0.038
1701528660.822,19.609,19.609,-19.609,0.0018000000000000002,0.0025,-0.0001,-0.017,-0.02,-0.037
1701528660.862,19.609,19.609,-19.609,-0.0007,0.0023,-0.001,-0.029,-0.022,-0.034
1701528660.902,19.609,19.609,-19.609,-0.0001,0.004,-0.0053,-0.031,-0.026000000000000002,-0.031
1701528660.942,19.609,19.609,-19.609,0.0006000000000000001,0.001,-0.0117,-0.024,-0.019,-0.036000000000000004
1701528660.9819999,19.609,19.609,-19.609,-0.00030000000000000003,0.0017000000000000001,0.014400000000000001,-0.02,-0.024,-0.046
1701528661.022,19.609,19.609,-19.609,0.0013000000000000002,0.0012000000000000001,0.0028,-0.011,-0.031,-0.054
1701528661.062,19.609,19.609,-19.609,0.001,0.0025,-0.0025,-0.012,-0.026000000000000002,-0.088
1701528661.102,19.609,19.609,-19.609,-0.0014,0.0031000000000000003,-0.006500000000000001,0.003,-0.031,-0.091
1701528661.142,19.609,19.609,-19.609,0.0009000000000000001,0.002,0.0028,0.002,-0.021,-0.09
1701528661.182,19.609,19.609,-19.609,0.0004,0.0018000000000000002,-0.004200000000000001,-0.01,-0.019,-0.096
1701528661.222,19.609,19.609,-19.609,0.0014,0.0024000000000000002,-0.0017000000000000001,-0.007,-0.004,-0.101
1701528661.262,19.609,19.609,-19.609,0.0006000000000000001,0.0031000000000000003,-0.0078000000000000005,-0.009000000000000001,-0.006,-0.093
1701528661.302,19.609,19.609,-19.609,0.0032,0.0029000000000000002,-0.0053,-0.007,-0.017,-0.09
1701528661.342,19.609,19.609,-19.609,0.0005,0.00030000000000000003,-0.0008,-0.001,-0.014,-0.096
1701528661.382,19.609,19.609,-19.609,0.0009000000000000001,0.0018000000000000002,-0.0025,-0.005,-0.026000000000000002,-0.08600000000000001
1701528661.422,19.609,19.609,-19.609,-0.0002,0.0021000000000000003,-0.0006000000000000001,0.003,-0.029,-0.098
1701528661.462,19.609,19.609,-19.609,0.0,0.0025,0.0047,-0.012,-0.026000000000000002,-0.099
1701528661.502,19.609,19.609,-19.609,-0.0011,0.0031000000000000003,-0.0068000000000000005,0.01,-0.034,-0.098
1701528661.542,19.609,19.609,-19.609,0.0006000000000000001,0.0025,-0.0001,0.009000000000000001,-0.033,-0.1
1701528661.582,19.609,19.609,-19.609,0.0006000000000000001,0.0026000000000000003,0.0029000000000000002,0.004,-0.031,-0.10200000000000001
1701528661.622,19.609,19.609,-19.609,-0.0015,0.0024000000000000002,-0.0074,0.01,-0.036000000000000004,-0.11
1701528661.662,19.609,19.609,-19.609,0.0019,0.0031000000000000003,0.0005,0.004,-0.032,-0.106
1701528661.702,19.609,19.609,-19.609,0.0004,0.0032,0.0064,0.002,-0.021,-0.109
1701528661.742,19.609,19.609,-19.609,0.0015,0.0023,0.0032,-0.002,-0.034,-0.112
1701528661.782,19.609,19.609,-19.609,0.0005,0.0026000000000000003,0.0012000000000000001,0.007,-0.032,-0.111
1701528661.822,19.609,19.609,-19.609,0.0015,0.0038,-0.011000000000000001,0.001,-0.025,-0.108
1701528661.862,19.609,19.609,-19.609,-0.0007,0.0015,-0.0073,-0.006,-0.023,-0.117
1701528661.902,19.609,19.609,-19.609,-0.0005,-0.0001,-0.0261,-0.006,-0.017,-0.109
1701528661.942,19.609,19.609,-19.609,-0.0001,0.0014,0.029,-0.012,-0.024,-0.10400000000000001
